Precinct 46,,
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2104,92.85%
SGN - COBB/LaMARCHE,14,0.62%
LIB - BADNARIK/CAMPAGNA,3,0.13%
SWP - HARRIS/TROWE,1,0.04%
REP - BUSH/CHENEY,122,5.38%
IND - NADER/CAMEJO,14,0.62%
"Write In, if any ",8,0.35%
Total...,"2,266",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2119,96.10%
REP - MICHAEL ANDREW MONROE,79,3.58%
"Write In, if any ",7,0.32%
Precinct 64,,
Registration & Turnout,,"2,666"
Election Day Turnout,1502,56.34%
Absentee Turnout,117,4.39%
Total...,"1,619",60.73%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1520,95.00%
SGN - COBB/LaMARCHE,1,0.06%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,74,4.63%
IND - NADER/CAMEJO,3,0.19%
"Write In, if any ",2,0.13%
Total...,"1,600",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1525,96.83%
REP - MICHAEL ANDREW MONROE,44,2.79%
"Write In, if any ",6,0.38%
Precinct 65,,
Registration & Turnout,,"2,961"
Election Day Turnout,1738,58.70%
Absentee Turnout,135,4.56%
Total...,"1,873",63.26%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1782,95.96%
SGN - COBB/LaMARCHE,1,0.05%
LIB - BADNARIK/CAMPAGNA,1,0.05%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,66,3.55%
IND - NADER/CAMEJO,3,0.16%
"Write In, if any ",4,0.22%
Total...,"1,857",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1795,97.55%
REP - MICHAEL ANDREW MONROE,41,2.23%
"Write In, if any ",4,0.22%
Precinct 66,,
Registration & Turnout,,"4,764"
Election Day Turnout,2851,59.84%
Absentee Turnout,244,5.12%
Total...,"3,095",64.97%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2919,95.17%
SGN - COBB/LaMARCHE,4,0.13%
LIB - BADNARIK/CAMPAGNA,3,0.10%
SWP - HARRIS/TROWE,2,0.07%
REP - BUSH/CHENEY,130,4.24%
IND - NADER/CAMEJO,6,0.20%
"Write In, if any ",3,0.10%
Total...,"3,067",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2938,96.84%
REP - MICHAEL ANDREW MONROE,85,2.80%
"Write In, if any ",11,0.36%
Precinct 68,,
Registration & Turnout,,"2,316"
Election Day Turnout,1298,56.04%
Absentee Turnout,121,5.22%
Total...,"1,419",61.27%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1242,88.65%
SGN - COBB/LaMARCHE,7,0.50%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,133,9.49%
IND - NADER/CAMEJO,12,0.86%
"Write In, if any ",7,0.50%
Total...,"1,401",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1238,90.96%
REP - MICHAEL ANDREW MONROE,112,8.23%
"Write In, if any ",11,0.81%
Precinct 70,,
Registration & Turnout,,"1,718"
Election Day Turnout,981,57.10%
Absentee Turnout,67,3.90%
Total...,"1,048",61.00%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,971,92.83%
SGN - COBB/LaMARCHE,5,0.48%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,2,0.19%
REP - BUSH/CHENEY,58,5.54%
IND - NADER/CAMEJO,10,0.96%
"Write In, if any ",0,0.00%
Total...,"1,046",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,980,95.33%
REP - MICHAEL ANDREW MONROE,46,4.47%
"Write In, if any ",2,0.19%
Precinct 71,,
egistration & Turnout,,"2,862"
Election Day Turnout,1501,52.45%
Absentee Turnout,112,3.91%
Total...,"1,613",56.36%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1492,93.25%
SGN - COBB/LaMARCHE,5,0.31%
LIB - BADNARIK/CAMPAGNA,1,0.06%
SWP - HARRIS/TROWE,1,0.06%
REP - BUSH/CHENEY,95,5.94%
IND - NADER/CAMEJO,6,0.38%
"Write In, if any ",0,0.00%
Total...,"1,600",100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1528,97.14%
REP - MICHAEL ANDREW MONROE,39,2.48%
"Write In, if any ",6,0.38%
Precinct 72,,
Registration & Turnout,,"4,235"
Election Day Turnout,2062,48.69%
Absentee Turnout,219,5.17%
Total...,"2,281",53.86%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2135,95.31%
SGN - COBB/LaMARCHE,6,0.27%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.04%
REP - BUSH/CHENEY,85,3.79%
IND - NADER/CAMEJO,10,0.45%
"Write In, if any ",3,0.13%
Total...,"2,240",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2145,97.41%
REP - MICHAEL ANDREW MONROE,49,2.23%
"Write In, if any ",8,0.36%
Precinct 73,,
egistration & Turnout,,"2,117"
Election Day Turnout,1226,57.91%
Absentee Turnout,119,5.62%
Total...,"1,345",63.53%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1217,91.50%
SGN - COBB/LaMARCHE,9,0.68%
LIB - BADNARIK/CAMPAGNA,1,0.08%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,84,6.32%
IND - NADER/CAMEJO,15,1.13%
"Write In, if any ",4,0.30%
Total...,"1,330",100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1207,93.13%
REP - MICHAEL ANDREW MONROE,83,6.40%
"Write In, if any ",6,0.46%
Precinct 74,,
Registration & Turnout,,"4,184"
Election Day Turnout,2079,49.69%
Absentee Turnout,162,3.87%
Total...,"2,241",53.56%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2061,93.17%
SGN - COBB/LaMARCHE,3,0.14%
LIB - BADNARIK/CAMPAGNA,2,0.09%
SWP - HARRIS/TROWE,4,0.18%
REP - BUSH/CHENEY,128,5.79%
IND - NADER/CAMEJO,11,0.50%
"Write In, if any ",3,0.14%
Total...,"2,212",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2047,94.72%
REP - MICHAEL ANDREW MONROE,109,5.04%
"Write In, if any ",5,0.23%
Precinct 75,,
egistration & Turnout,,"3,085"
Election Day Turnout,1417,45.93%
Absentee Turnout,136,4.41%
Total...,"1,553",50.34%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1459,95.11%
SGN - COBB/LaMARCHE,9,0.59%
LIB - BADNARIK/CAMPAGNA,4,0.26%
SWP - HARRIS/TROWE,1,0.07%
REP - BUSH/CHENEY,46,3.00%
IND - NADER/CAMEJO,12,0.78%
"Write In, if any ",3,0.20%
recinct 76,,
egistration & Turnout,,878
Election Day Turnout,398,45.33%
Absentee Turnout,40,4.56%
Total...,438,49.89%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,410,94.91%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.23%
REP - BUSH/CHENEY,19,4.40%
IND - NADER/CAMEJO,1,0.23%
"Write In, if any ",1,0.23%
Precinct 77,,
Registration & Turnout,,"3,037"
Election Day Turnout,1502,49.46%
Absentee Turnout,102,3.36%
Total...,"1,604",52.82%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1512,95.88%
SGN - COBB/LaMARCHE,3,0.19%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.06%
REP - BUSH/CHENEY,55,3.49%
IND - NADER/CAMEJO,6,0.38%
"Write In, if any ",0,0.00%
Total...,"1,577",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1529,97.89%
REP - MICHAEL ANDREW MONROE,30,1.92%
"Write In, if any ",3,0.19%
Precinct 78,,
egistration & Turnout,,"2,667"
Election Day Turnout,1308,49.04%
Absentee Turnout,132,4.95%
Total...,"1,440",53.99%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1372,96.96%
SGN - COBB/LaMARCHE,3,0.21%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,37,2.61%
IND - NADER/CAMEJO,3,0.21%
"Write In, if any ",0,0.00%
Total...,"1,415",100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1371,98.14%
REP - MICHAEL ANDREW MONROE,24,1.72%
"Write In, if any ",2,0.14%
Precinct 79,,
Registration & Turnout,,"2,081"
Election Day Turnout,859,41.28%
Absentee Turnout,103,4.95%
Total...,962,46.23%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,900,95.64%
SGN - COBB/LaMARCHE,3,0.32%
LIB - BADNARIK/CAMPAGNA,2,0.21%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,34,3.61%
IND - NADER/CAMEJO,2,0.21%
"Write In, if any ",0,0.00%
Total...,941,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,901,96.57%
REP - MICHAEL ANDREW MONROE,32,3.43%
"Write In, if any ",0,0.00%
Precinct 80,,
Registration & Turnout,,"1,498"
Election Day Turnout,749,50.00%
Absentee Turnout,64,4.27%
Total...,813,54.27%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,758,94.40%
SGN - COBB/LaMARCHE,3,0.37%
LIB - BADNARIK/CAMPAGNA,1,0.12%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,36,4.48%
IND - NADER/CAMEJO,4,0.50%
"Write In, if any ",1,0.12%
Total...,803,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,760,96.20%
REP - MICHAEL ANDREW MONROE,28,3.54%
"Write In, if any ",2,0.25%
Total...,790,100.00%
Precinct 81,,
Registration & Turnout,,"5,094"
Election Day Turnout,2493,48.94%
Absentee Turnout,293,5.75%
Total...,"2,786",54.69%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2553,92.77%
SGN - COBB/LaMARCHE,2,0.07%
LIB - BADNARIK/CAMPAGNA,3,0.11%
SWP - HARRIS/TROWE,2,0.07%
REP - BUSH/CHENEY,172,6.25%
IND - NADER/CAMEJO,18,0.65%
"Write In, if any ",2,0.07%
Total...,"2,752",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2529,93.88%
REP - MICHAEL ANDREW MONROE,154,5.72%
"Write In, if any ",11,0.41%
Total...,"2,694",100.00%
Precinct 82,,
Registration & Turnout,,"2,918"
Election Day Turnout,1517,51.99%
Absentee Turnout,140,4.80%
Total...,"1,657",56.79%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1503,91.09%
SGN - COBB/LaMARCHE,6,0.36%
LIB - BADNARIK/CAMPAGNA,5,0.30%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,121,7.33%
IND - NADER/CAMEJO,14,0.85%
"Write In, if any ",1,0.06%
Total...,"1,650",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1506,92.79%
REP - MICHAEL ANDREW MONROE,112,6.90%
"Write In, if any ",5,0.31%
Precinct 83,,
Registration & Turnout,,"3,443"
Election Day Turnout,1677,48.71%
Absentee Turnout,149,4.33%
Total...,"1,826",53.04%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1688,93.57%
SGN - COBB/LaMARCHE,6,0.33%
LIB - BADNARIK/CAMPAGNA,6,0.33%
SWP - HARRIS/TROWE,1,0.06%
REP - BUSH/CHENEY,94,5.21%
IND - NADER/CAMEJO,7,0.39%
"Write In, if any ",2,0.11%
Total...,"1,804",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1669,94.40%
REP - MICHAEL ANDREW MONROE,94,5.32%
"Write In, if any ",5,0.28%
Precinct 84,,
Registration & Turnout,,"2,756"
Election Day Turnout,1531,55.55%
Absentee Turnout,197,7.15%
Total...,"1,728",62.70%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1414,82.93%
SGN - COBB/LaMARCHE,8,0.47%
LIB - BADNARIK/CAMPAGNA,7,0.41%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,257,15.07%
IND - NADER/CAMEJO,10,0.59%
"Write In, if any ",9,0.53%
Total...,"1,705",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1393,82.77%
REP - MICHAEL ANDREW MONROE,277,16.46%
"Write In, if any ",13,0.77%
Precinct 85,,
Registration & Turnout,,"3,515"
Election Day Turnout,1947,55.39%
Absentee Turnout,397,11.29%
Total...,"2,344",66.69%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1874,80.29%
SGN - COBB/LaMARCHE,13,0.56%
LIB - BADNARIK/CAMPAGNA,12,0.51%
SWP - HARRIS/TROWE,1,0.04%
REP - BUSH/CHENEY,397,17.01%
IND - NADER/CAMEJO,23,0.99%
"Write In, if any ",14,0.60%
Total...,"2,334",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1854,81.89%
REP - MICHAEL ANDREW MONROE,399,17.62%
"Write In, if any ",11,0.49%
Precinct 86,,
Registration & Turnout,,"2,681"
Election Day Turnout,1393,51.96%
Absentee Turnout,172,6.42%
Total...,"1,565",58.37%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1370,87.99%
SGN - COBB/LaMARCHE,6,0.39%
LIB - BADNARIK/CAMPAGNA,2,0.13%
