ward,office,party,candidate,votes
1,ANC FOR SMD 1C02,,Write In,79
1,ANC FOR SMD 1C03,,BRYAN WEAVER,438
1,ANC FOR SMD 1C03,,Write In,17
1,ANC FOR SMD 1C04,,MINDY MORETTI,267
1,ANC FOR SMD 1C04,,TAMARA S. WEBB,110
1,ANC FOR SMD 1C04,,Write In,20
1,ANC FOR SMD 1C05,,J. MICHAEL LOGSDON,272
1,ANC FOR SMD 1C05,,Write In,20
1,ANC FOR SMD 1C06,,NADIA AHLSTEN,100
1,ANC FOR SMD 1C06,,NANCY SHIA,159
1,ANC FOR SMD 1C06,,Write In,17
1,ANC FOR SMD 1C07,,WILSON REYNOLDS,245
1,ANC FOR SMD 1C07,,Write In,5
1,ANC FOR SMD 1C08,,KATHIE BOETTRICH,377
1,ANC FOR SMD 1C08,,Write In,14
1,ANC FOR SMD 1D01,,JANE ZARA,251
1,ANC FOR SMD 1D01,,Write In,11
1,ANC FOR SMD 1D02,,JOE ANTHONY ESPARZA,92
1,ANC FOR SMD 1D02,,REED M. WIEDOWER,60
1,ANC FOR SMD 1D02,,Write In,10
1,ANC FOR SMD 1D03,,JACK McKAY,452
1,ANC FOR SMD 1D03,,Write In,17
1,ANC FOR SMD 1D04,,GREGG EDWARDS,158
1,ANC FOR SMD 1D04,,Write In,8
1,ANC FOR SMD 1D05,,DAVID BOSSERMAN,388
1,ANC FOR SMD 1D05,,Write In,17
1,ANC FOR SMD 1D06,,ANGELIA D. SCOTT,205
1,ANC FOR SMD 1D06,,Write In,8
1,ANC FOR SMD 3C01,,DIA BLACK,134
1,ANC FOR SMD 3C01,,AVNER SHAPIRO,132
1,ANC FOR SMD 3C01,,Write In,6
2,DELEGATE TO THE U.S. HOUSE OF REPRESEN,DEM,ELEANOR HOLMES NORTON,"10,556"
2,DELEGATE TO THE U.S. HOUSE OF REPRESEN,,Write In,436
2,MAYOR OF THE DISTRICT OF COLUMBIA,DEM,ADRIAN FENTY,"9,787"
2,MAYOR OF THE DISTRICT OF COLUMBIA,SG,CHRIS OTTEN,648
2,MAYOR OF THE DISTRICT OF COLUMBIA,REP,DAVID W. KRANICH,"1,306"
2,MAYOR OF THE DISTRICT OF COLUMBIA,,Write In,176
2,CHAIRMAN OF THE COUNCIL,DEM,VINCENT C. GRAY,"10,010"
2,CHAIRMAN OF THE COUNCIL,,Write In,342
2,AT-LARGE MEMBER OF THE COUNCIL,IND,ANTONIO 'TONY' DOMINGUEZ,878
2,AT-LARGE MEMBER OF THE COUNCIL,DEM,PHIL MENDELSON,"8,633"
2,AT-LARGE MEMBER OF THE COUNCIL,REP,MARCUS SKELTON,"1,270"
2,AT-LARGE MEMBER OF THE COUNCIL,SG,ANN C. WILCOX,"1,422"
2,AT-LARGE MEMBER OF THE COUNCIL,IND,DAVID A. CATANIA,"7,068"
2,AT-LARGE MEMBER OF THE COUNCIL,,Write In,83
2,UNITED STATES SENATOR,SG,JOYCE ROBINSON-PAUL,"1,749"
2,UNITED STATES SENATOR,DEM,MICHAEL D. BROWN,"8,086"
2,UNITED STATES SENATOR,,Write In,241
2,UNITED STATES REPRESENTATIVE,SG,KEITH R. WARE,"1,262"
2,UNITED STATES REPRESENTATIVE,DEM,MIKE PANETTA,"7,387"
2,UNITED STATES REPRESENTATIVE,REP,NELSON RIMENSNYDER,"1,555"
2,UNITED STATES REPRESENTATIVE,,Write In,106
2,PRESIDENT OF THE BOARD OF EDUCATION,,CAROLYN GRAHAM,"2,951"
2,PRESIDENT OF THE BOARD OF EDUCATION,,TIMOTHY JENKINS,"1,061"
2,PRESIDENT OF THE BOARD OF EDUCATION,,ROBERT C. BOBB,"4,825"
2,PRESIDENT OF THE BOARD OF EDUCATION,,SUNDAY ABRAHAM,297
2,PRESIDENT OF THE BOARD OF EDUCATION,,LAURENT ROSS,464
2,PRESIDENT OF THE BOARD OF EDUCATION,,Write In,109
2,ANC FOR SMD 2A01,,DAVID M. LEHRMAN,55
2,ANC FOR SMD 2A01,,Write In,7
2,ANC FOR SMD 2A02,,MICHAEL THOMAS,253
2,ANC FOR SMD 2A02,,Write In,10
2,ANC FOR SMD 2A03,,ASHER CORSON,200
2,ANC FOR SMD 2A03,,ANNE SAVAGE,123
2,ANC FOR SMD 2A03,,Write In,2
2,ANC FOR SMD 2A04,,JEFF BINDER,222
2,ANC FOR SMD 2A04,,Write In,14
2,ANC FOR SMD 2A05,,DOROTHY MILLER,147
2,ANC FOR SMD 2A05,,Write In,14
2,ANC FOR SMD 2A06,,VINCE MICONE,59
2,ANC FOR SMD 2A06,,Write In,7
2,ANC FOR SMD 2B01,,CURTIS FARRAR,269
2,ANC FOR SMD 2B01,,Write In,12
2,ANC FOR SMD 2B02,,Write In,46
2,ANC FOR SMD 2B03,,BOB MEEHAN,275
2,ANC FOR SMD 2B03,,Write In,48
2,ANC FOR SMD 2B04,,RYAN BUTLER,314
2,ANC FOR SMD 2B04,,Write In,45
2,ANC FOR SMD 2B05,,MARK L. BJORGE,312
2,ANC FOR SMD 2B05,,Write In,36
2,ANC FOR SMD 2B06,,MIKE SILVERSTEIN,255
2,ANC FOR SMD 2B06,,Write In,16
2,ANC FOR SMD 2B07,,Write In,282
2,ANC FOR SMD 2B08,,DOUGLAS F. JOHNSON,318
2,ANC FOR SMD 2B08,,Write In,6
2,ANC FOR SMD 2B09,,RAMON ESTRADA,301
2,ANC FOR SMD 2B09,,Write In,9
2,ANC FOR SMD 2C01,,ALEXANDER M. 'ALEX' PADRO,261
2,ANC FOR SMD 2C01,,MARY A. SUTHERLAND,107
2,ANC FOR SMD 2C01,,Write In,6
2,ANC FOR SMD 2C02,,KEVIN CHAPPLE,272
2,ANC FOR SMD 2C02,,"LEROY JOSEPH THORPE, JR.",267
2,ANC FOR SMD 2C02,,Write In,2
2,ANC FOR SMD 2C03,,JOHN TINPE,131
2,ANC FOR SMD 2C03,,DORIS L. BROOKS,315
2,ANC FOR SMD 2C03,,Write In,8
2,ANC FOR SMD 2C04,,RICHARD ROGERS,118
2,ANC FOR SMD 2C04,,BARBARA CURTIS,146
2,ANC FOR SMD 2C04,,Write In,6
2,ANC FOR SMD 2D01,,SANDRA PERLMUTTER,259
2,ANC FOR SMD 2D01,,Write In,9
2,ANC FOR SMD 2D02,,MARYEVA CANDON,242
2,ANC FOR SMD 2D02,,Write In,8
2,ANC FOR SMD 2E01,,ED SOLOMON,287
2,ANC FOR SMD 2E01,,Write In,4
2,ANC FOR SMD 2E02,,RON LEWIS,200
2,ANC FOR SMD 2E02,,Write In,7
2,ANC FOR SMD 2E03,,WILLIAM SKELSEY,136
2,ANC FOR SMD 2E03,,Write In,5
2,ANC FOR SMD 2E04,,JENNA LOWENSTEIN,20
2,ANC FOR SMD 2E04,,Write In,1
2,ANC FOR SMD 2E05,,BILL STARRELS,151
2,ANC FOR SMD 2E05,,Write In,7
2,ANC FOR SMD 2E06,,TOM BIRCH,448
2,ANC FOR SMD 2E06,,Write In,16
2,ANC FOR SMD 2E07,,"CHARLES F. EASON, JR.",302
2,ANC FOR SMD 2E07,,Write In,19
2,ANC FOR SMD 2F01,,CHARLES REED,482
2,ANC FOR SMD 2F01,,Write In,24
2,ANC FOR SMD 2F02,,JIM RICHARDSON,297
2,ANC FOR SMD 2F02,,Write In,8
2,ANC FOR SMD 2F03,,CHRISTOPHER DYER,334
2,ANC FOR SMD 2F03,,Write In,11
2,ANC FOR SMD 2F04,,JENNIFER TROCK,280
2,ANC FOR SMD 2F04,,Write In,9
2,ANC FOR SMD 2F05,,Write In,24
2,ANC FOR SMD 2F06,,MICHAEL B. BENARDO,304
2,ANC FOR SMD 2F06,,Write In,20
2,ANC FOR SMD 6C09,,CHARLEY DOCTER,2
2,ANC FOR SMD 6C09,,Write In,0
2,ANC FOR SMD 6D01,,MAX S. SKOLNIK,13
2,ANC FOR SMD 6D01,,Write In,2
2,ANC FOR SMD 6D02,,DAVID SOBELSOHN,5
2,ANC FOR SMD 6D02,,Write In,1
2,ANC FOR SMD 6D05,,ROGER MOFFATT,0
2,ANC FOR SMD 6D05,,Write In,0
3,DELEGATE TO THE U.S. HOUSE OF REPRESEN,DEM,ELEANOR HOLMES NORTON,"16,878"
3,DELEGATE TO THE U.S. HOUSE OF REPRESEN,,Write In,782
3,MAYOR OF THE DISTRICT OF COLUMBIA,DEM,ADRIAN FENTY,"15,978"
3,MAYOR OF THE DISTRICT OF COLUMBIA,SG,CHRIS OTTEN,866
3,MAYOR OF THE DISTRICT OF COLUMBIA,REP,DAVID W. KRANICH,"2,493"
3,MAYOR OF THE DISTRICT OF COLUMBIA,,Write In,199
3,CHAIRMAN OF THE COUNCIL,DEM,VINCENT C. GRAY,"16,010"
3,CHAIRMAN OF THE COUNCIL,,Write In,581
3,AT-LARGE MEMBER OF THE COUNCIL,IND,ANTONIO 'TONY' DOMINGUEZ,"1,159"
3,AT-LARGE MEMBER OF THE COUNCIL,DEM,PHIL MENDELSON,"14,359"
3,AT-LARGE MEMBER OF THE COUNCIL,REP,MARCUS SKELTON,"2,524"
3,AT-LARGE MEMBER OF THE COUNCIL,SG,ANN C. WILCOX,"1,858"
3,AT-LARGE MEMBER OF THE COUNCIL,IND,DAVID A. CATANIA,"11,961"
3,AT-LARGE MEMBER OF THE COUNCIL,,Write In,160
3,WARD THREE MEMBER OF THE COUNCIL,DEM,MARY M. CHEH,"13,881"
3,WARD THREE MEMBER OF THE COUNCIL,REP,THERESA CONROY,"5,403"
3,WARD THREE MEMBER OF THE COUNCIL,,Write In,139
3,UNITED STATES SENATOR,SG,JOYCE ROBINSON-PAUL,"2,526"
3,UNITED STATES SENATOR,DEM,MICHAEL D. BROWN,"12,580"
3,UNITED STATES SENATOR,,Write In,376
3,UNITED STATES REPRESENTATIVE,SG,KEITH R. WARE,"1,678"
3,UNITED STATES REPRESENTATIVE,DEM,MIKE PANETTA,"11,249"
3,UNITED STATES REPRESENTATIVE,REP,NELSON RIMENSNYDER,"3,071"
3,UNITED STATES REPRESENTATIVE,,Write In,175
3,PRESIDENT OF THE BOARD OF EDUCATION,,CAROLYN GRAHAM,"3,778"
3,PRESIDENT OF THE BOARD OF EDUCATION,,TIMOTHY JENKINS,"1,625"
3,PRESIDENT OF THE BOARD OF EDUCATION,,ROBERT C. BOBB,"8,882"
3,PRESIDENT OF THE BOARD OF EDUCATION,,SUNDAY ABRAHAM,333
3,PRESIDENT OF THE BOARD OF EDUCATION,,LAURENT ROSS,950
3,PRESIDENT OF THE BOARD OF EDUCATION,,Write In,180
3,ANC FOR SMD 3B01,,KATHLEEN W. FIORILLO,341
3,ANC FOR SMD 3B01,,Write In,13
3,ANC FOR SMD 3B02,,PATRICIA S. BITONDO (Withdrew),126
3,ANC FOR SMD 3B02,,WILL MILLER,105
3,ANC FOR SMD 3B02,,Write In,20
3,ANC FOR SMD 3B03,,MELISSA LANE,333
3,ANC FOR SMD 3B03,,Write In,25
3,ANC FOR SMD 3B04,,HORACE (HOWIE) KREITZMAN,465
3,ANC FOR SMD 3B04,,Write In,26
3,ANC FOR SMD 3B05,,BRIAN A. COHEN,347
3,ANC FOR SMD 3B05,,Write In,30
3,ANC FOR SMD 3C01,,DIA BLACK,41
3,ANC FOR SMD 3C01,,AVNER SHAPIRO,11
3,ANC FOR SMD 3C01,,Write In,1
3,ANC FOR SMD 3C02,,DEBORAH JANE LINDEMAN,217
3,ANC FOR SMD 3C02,,GLORIA E. DAY,267
3,ANC FOR SMD 3C02,,Write In,2
3,ANC FOR SMD 3C03,,STEPHANIE M. ZOBAY,426
3,ANC FOR SMD 3C03,,Write In,40
3,ANC FOR SMD 3C04,,AVRAM FECHTER,277
3,ANC FOR SMD 3C04,,Write In,12
3,ANC FOR SMD 3C05,,GREGORY HAIR,247
3,ANC FOR SMD 3C05,,R. BRUCE BECKNER,384
3,ANC FOR SMD 3C05,,Write In,9
3,ANC FOR SMD 3C06,,TRUDY REEVES,357
3,ANC FOR SMD 3C06,,Write In,12
3,ANC FOR SMD 3C07,,Write In,104
3,ANC FOR SMD 3C08,,CATHERINE MAY,294
3,ANC FOR SMD 3C08,,SHELLEY H. COHEN,112
3,ANC FOR SMD 3C08,,Write In,7
3,ANC FOR SMD 3C09,,NANCY J. MACWOOD,354
3,ANC FOR SMD 3C09,,Write In,30
3,ANC FOR SMD 3D01,,ELIZABETH (BETSY) SANDZA,282
3,ANC FOR SMD 3D01,,KENT SLOWINSKI,210
3,ANC FOR SMD 3D01,,Write In,12
3,ANC FOR SMD 3D02,,Write In,99
3,ANC FOR SMD 3D03,,NAN S. WELLS,370
3,ANC FOR SMD 3D03,,Write In,66
3,ANC FOR SMD 3D04,,RACHEL W. THOMPSON,495
3,ANC FOR SMD 3D04,,Write In,55
3,ANC FOR SMD 3D05,,ALMA HARDY GATES,308
3,ANC FOR SMD 3D05,,JAY ROUSE,268
3,ANC FOR SMD 3D05,,Write In,4
3,ANC FOR SMD 3D06,,ANN F. HEUER,264
3,ANC FOR SMD 3D06,,Write In,14
3,ANC FOR SMD 3D07,,Write In,4
3,ANC FOR SMD 3D08,,Write In,47
3,ANC FOR SMD 3D09,,ANN HAAS,359
3,ANC FOR SMD 3D09,,Write In,11
3,ANC FOR SMD 3E01,,AMY MCVEY,497
3,ANC FOR SMD 3E01,,Write In,39
3,ANC FOR SMD 3E02,,Write In,165
3,ANC FOR SMD 3E03,,CAROLYN M. SHERMAN,461
3,ANC FOR SMD 3E03,,Write In,72
3,ANC FOR SMD 3E04,,LUCY ELDRIDGE,466
3,ANC FOR SMD 3E04,,Write In,22
3,ANC FOR SMD 3E05,,ANNE C. SULLIVAN,160
3,ANC FOR SMD 3E05,,Write In,13
3,ANC FOR SMD 3F01,,Write In,195
3,ANC FOR SMD 3F02,,KAREN LEE PERRY,435
3,ANC FOR SMD 3F02,,Write In,8
3,ANC FOR SMD 3F03,,Write In,284
3,ANC FOR SMD 3F04,,FRANK T. WINSTEAD,344
3,ANC FOR SMD 3F04,,Write In,60
3,ANC FOR SMD 3F05,,Write In,124
3,ANC FOR SMD 3F06,,Write In,355
3,ANC FOR SMD 3F07,,DANIEL L. KLIBANOFF,337
3,ANC FOR SMD 3F07,,Write In,15
3,ANC FOR SMD 3G03,,SAMANTHA NOLAN,122
3,ANC FOR SMD 3G03,,Write In,14
3,ANC FOR SMD 3G05,,JERRY LEVINE,532
3,ANC FOR SMD 3G05,,Write In,24
3,ANC FOR SMD 3G06,,JIM MCCARTHY,405
3,ANC FOR SMD 3G06,,Write In,21
3,ANC FOR SMD 3G07,,JACK J. BURRIESCI,144
3,ANC FOR SMD 3G07,,CRIS FROMBOLUTI,263
3,ANC FOR SMD 3G07,,Write In,16
4,DELEGATE TO THE U.S. HOUSE OF REPRESEN,DEM,ELEANOR HOLMES NORTON,"19,013"
4,DELEGATE TO THE U.S. HOUSE OF REPRESEN,,Write In,312
4,MAYOR OF THE DISTRICT OF COLUMBIA,DEM,ADRIAN FENTY,"18,582"
4,MAYOR OF THE DISTRICT OF COLUMBIA,SG,CHRIS OTTEN,551
4,MAYOR OF THE DISTRICT OF COLUMBIA,REP,DAVID W. KRANICH,602
4,MAYOR OF THE DISTRICT OF COLUMBIA,,Write In,203
4,CHAIRMAN OF THE COUNCIL,DEM,VINCENT C. GRAY,"18,391"
4,CHAIRMAN OF THE COUNCIL,,Write In,281
4,AT-LARGE MEMBER OF THE COUNCIL,IND,ANTONIO 'TONY' DOMINGUEZ,"1,413"
4,AT-LARGE MEMBER OF THE COUNCIL,DEM,PHIL MENDELSON,"15,364"
4,AT-LARGE MEMBER OF THE COUNCIL,REP,MARCUS SKELTON,775
4,AT-LARGE MEMBER OF THE COUNCIL,SG,ANN C. WILCOX,"1,889"
4,AT-LARGE MEMBER OF THE COUNCIL,IND,DAVID A. CATANIA,"10,204"
4,AT-LARGE MEMBER OF THE COUNCIL,,Write In,178
4,UNITED STATES SENATOR,SG,JOYCE ROBINSON-PAUL,"2,497"
4,UNITED STATES SENATOR,DEM,MICHAEL D. BROWN,"15,378"
4,UNITED STATES SENATOR,,Write In,215
4,UNITED STATES REPRESENTATIVE,SG,KEITH R. WARE,"2,314"
4,UNITED STATES REPRESENTATIVE,DEM,MIKE PANETTA,"14,162"
4,UNITED STATES REPRESENTATIVE,REP,NELSON RIMENSNYDER,972
4,UNITED STATES REPRESENTATIVE,,Write In,136
4,PRESIDENT OF THE BOARD OF EDUCATION,,CAROLYN GRAHAM,"6,508"
4,PRESIDENT OF THE BOARD OF EDUCATION,,TIMOTHY JENKINS,"2,452"
4,PRESIDENT OF THE BOARD OF EDUCATION,,ROBERT C. BOBB,"7,897"
4,PRESIDENT OF THE BOARD OF EDUCATION,,SUNDAY ABRAHAM,436
4,PRESIDENT OF THE BOARD OF EDUCATION,,LAURENT ROSS,808
4,PRESIDENT OF THE BOARD OF EDUCATION,,Write In,139
4,ANC FOR SMD 3G01,,CAROL SEITZ,580
4,ANC FOR SMD 3G01,,Write In,11
4,ANC FOR SMD 3G02,,GARY THOMPSON,533
4,ANC FOR SMD 3G02,,Write In,11
4,ANC FOR SMD 3G03,,SAMANTHA NOLAN,473
4,ANC FOR SMD 3G03,,Write In,24
4,ANC FOR SMD 3G04,,ALLEN E. BEACH,559
4,ANC FOR SMD 3G04,,Write In,20
4,ANC FOR SMD 4A01,,CLARK JOHNSON,693
4,ANC FOR SMD 4A01,,Write In,34
4,ANC FOR SMD 4A02,,JOURDINIA SMITH BROWN,825
4,ANC FOR SMD 4A02,,Write In,7
4,ANC FOR SMD 4A03,,STEPHEN A. 'STEVE' WHATLEY,192
4,ANC FOR SMD 4A03,,ARLENE DAVIS,182
4,ANC FOR SMD 4A03,,Write In,4
4,ANC FOR SMD 4A04,,MARIAN C. BENNETT,462
4,ANC FOR SMD 4A04,,Write In,35
4,ANC FOR SMD 4A05,,HABIEBA SNOW ISRAEL,210
4,ANC FOR SMD 4A05,,Write In,13
4,ANC FOR SMD 4A06,,BRIAN J. LANG,210
4,ANC FOR SMD 4A06,,Write In,13
4,ANC FOR SMD 4A07,,DAVE WILSON,354
4,ANC FOR SMD 4A07,,Write In,16
4,ANC FOR SMD 4A08,,JEFF HILDEBRAND,305
4,ANC FOR SMD 4A08,,JAMES H. JONES,313
4,ANC FOR SMD 4A08,,Write In,10
4,ANC FOR SMD 4B01,,SARA GREEN,484
4,ANC FOR SMD 4B01,,Write In,13
4,ANC FOR SMD 4B02,,MICHAEL J. SINDRAM,106
4,ANC FOR SMD 4B02,,FAITH WHEELER,446
4,ANC FOR SMD 4B02,,Write In,30
4,ANC FOR SMD 4B03,,FREDERICK D. GRANT,447
4,ANC FOR SMD 4B03,,"ROBERT LONON, SR.",183
4,ANC FOR SMD 4B03,,Write In,5
4,ANC FOR SMD 4B04,,EVELENA McCUTCHEN,410
4,ANC FOR SMD 4B04,,WES HICKMAN,155
4,ANC FOR SMD 4B04,,Write In,13
4,ANC FOR SMD 4B05,,BLONDINE C. HUGHES,386
4,ANC FOR SMD 4B05,,Write In,10
4,ANC FOR SMD 4B06,,GLORIA D. PALMER,534
4,ANC FOR SMD 4B06,,Write In,26
4,ANC FOR SMD 4B07,,KEITH V. WHITE,150
4,ANC FOR SMD 4B07,,JUDI JONES,397
4,ANC FOR SMD 4B07,,Write In,9
4,ANC FOR SMD 4B08,,YVONNE A. JEFFERSON,311
4,ANC FOR SMD 4B08,,CHERITA 'COOKIE' WHITING,283
4,ANC FOR SMD 4B08,,Write In,12
4,ANC FOR SMD 4B09,,MURIEL  E. BOWSER,601
4,ANC FOR SMD 4B09,,Write In,70
4,ANC FOR SMD 4C01,,Write In,77
4,ANC FOR SMD 4C02,,DAMIAN A. NICKENS,236
4,ANC FOR SMD 4C02,,TOM DAWSON,180
4,ANC FOR SMD 4C02,,Write In,12
4,ANC FOR SMD 4C03,,RONALD P. BLAND,388
4,ANC FOR SMD 4C03,,Write In,22
4,ANC FOR SMD 4C04,,MAGGIE BISCARR,159
4,ANC FOR SMD 4C04,,Write In,5
4,ANC FOR SMD 4C05,,LOUIS WASSEL,308
4,ANC FOR SMD 4C05,,Write In,10
4,ANC FOR SMD 4C06,,Write In,26
4,ANC FOR SMD 4C07,,SHANEL O. ANTHONY,369
4,ANC FOR SMD 4C07,,Write In,7
4,ANC FOR SMD 4C08,,TIMOTHY A. JONES,213
4,ANC FOR SMD 4C08,,MICHELLE ESCUMBISE,198
4,ANC FOR SMD 4C08,,Write In,4
4,ANC FOR SMD 4C09,,JOSEPH MARTIN,419
4,ANC FOR SMD 4C09,,Write In,21
4,ANC FOR SMD 4C10,,KEVIN E. HUMMONS,253
4,ANC FOR SMD 4C10,,JOSEPH C. HENSON,175
4,ANC FOR SMD 4C10,,Write In,10
4,ANC FOR SMD 4D01,,JOSHUA LOPEZ,167
4,ANC FOR SMD 4D01,,Write In,33
4,ANC FOR SMD 4D02,,RENEE L. BOWSER,474
4,ANC FOR SMD 4D02,,Write In,8
4,ANC FOR SMD 4D03,,ROBERT L. WHIDDON,409
4,ANC FOR SMD 4D03,,Write In,47
4,ANC FOR SMD 4D04,,Write In,112
4,ANC FOR SMD 4D05,,EVERETT D. LOTT,345
4,ANC FOR SMD 4D05,,Write In,14
4,ANC FOR SMD 4D06,,LUCRETIA HOCKADAY,222
4,ANC FOR SMD 4D06,,BILL QUIRK,162
4,ANC FOR SMD 4D06,,Write In,3
5,DELEGATE TO THE U.S. HOUSE OF REPRESEN,DEM,ELEANOR HOLMES NORTON,"15,625"
5,DELEGATE TO THE U.S. HOUSE OF REPRESEN,,Write In,210
5,MAYOR OF THE DISTRICT OF COLUMBIA,DEM,ADRIAN FENTY,"14,963"
5,MAYOR OF THE DISTRICT OF COLUMBIA,SG,CHRIS OTTEN,537
5,MAYOR OF THE DISTRICT OF COLUMBIA,REP,DAVID W. KRANICH,465
5,MAYOR OF THE DISTRICT OF COLUMBIA,,Write In,166
5,CHAIRMAN OF THE COUNCIL,DEM,VINCENT C. GRAY,"15,010"
5,CHAIRMAN OF THE COUNCIL,,Write In,225
