precinct,office,party,candidate,votes
28,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,1
29,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,13
29,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,0
29,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
29,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,1
29,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,8
29,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,22
29,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,1
29,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,1
29,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
30,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,48
30,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,2
30,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,1
30,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,1
30,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,15
30,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,51
30,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,10
30,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,1
30,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,1
31,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,84
31,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,6
31,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
31,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,3
31,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,14
31,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,69
31,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,2
31,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,1
31,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
32,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,57
32,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,6
32,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,1
32,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,0
32,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,28
32,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,74
32,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,1
32,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,0
32,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
33,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,60
33,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,13
33,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
33,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,0
33,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,22
33,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,77
33,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,3
33,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,2
33,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
34,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,49
34,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,13
34,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
34,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,1
34,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,7
34,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,43
34,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,4
34,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,4
34,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,12
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,117
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,0
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,5
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,30
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,138
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,0
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,13
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,1
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,2
45,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,9
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,1
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,19
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,5
45,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,26
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,10
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,1
45,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,18
45,WARD FOUR MEMBER OF THE COUNCIL,,Write In,0
45,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,123
45,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,23
45,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,11
45,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,22
45,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,54
45,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,58
45,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,31
45,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,33
45,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,4
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,24
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,141
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,7
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,7
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,24
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,192
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,2
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,15
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,2
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,5
46,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,1
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,1
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,21
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,4
46,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,26
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,14
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,3
46,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,51
46,WARD FOUR MEMBER OF THE COUNCIL,,Write In,0
46,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,162
46,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,32
46,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,8
46,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,42
46,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,72
46,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,102
46,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,34
46,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,48
46,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,5
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,11
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,158
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,1
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,4
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,36
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,181
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,3
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,11
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,1
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,16
47,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,0
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,3
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,24
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,2
47,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,31
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,1
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,4
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,10
47,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,21
47,WARD FOUR MEMBER OF THE COUNCIL,,Write In,4
47,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,142
47,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,53
47,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,9
47,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,31
47,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,61
47,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,98
47,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,35
47,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,33
47,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,9
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,17
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,247
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,1
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,3
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,40
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,280
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,6
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,26
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,0
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,5
48,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,1
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,5
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,15
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,2
48,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,37
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,2
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,1
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,1
48,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,21
48,WARD FOUR MEMBER OF THE COUNCIL,,Write In,3
48,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,136
48,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,59
48,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,12
48,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,42
48,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,98
48,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,173
48,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,50
48,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,46
48,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,12
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,1
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,51
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,1
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,0
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,5
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,40
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,1
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,1
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,0
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,1
49,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,0
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,1
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,8
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,0
49,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,5
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,0
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,1
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,0
49,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,2
49,WARD FOUR MEMBER OF THE COUNCIL,,Write In,0
49,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,37
49,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,11
49,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,3
49,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,4
49,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,9
49,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,23
49,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,4
49,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,15
49,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,1
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,60
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,6
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,1
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,14
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,119
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,2
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,2
50,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,30
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL A. BROWN,358
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,MICHAEL T. GREEN,5
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,ARTEE 'RT' MILLIGAN,17
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,CHARLES GAITHER,33
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,MURIEL BOWSER,794
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,CARROLL GREEN,2
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROBERT G. CHILDS,3
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,JAMES CLARK,0
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA P. BASS,8
51,WARD FOUR MEMBER OF THE COUNCIL,IND,JUDI JONES,3
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,T. A. UQDAH,1
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,GRAYLAN SCOTT HAGLER,14
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,MARLENA D. EDWARDS,3
51,WARD FOUR MEMBER OF THE COUNCIL,SG,RENEE BOWSER,36
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,ROY HOWELL,1
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,LISA COMFORT BRADFORD,1
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,DOUGLASS NED SLOAN,5
51,WARD FOUR MEMBER OF THE COUNCIL,DEM,DWIGHT E. SINGLETON,5
51,WARD FOUR MEMBER OF THE COUNCIL,,Write In,3
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,394
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,59
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,9
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,10
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,152
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,527
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,49
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,25
51,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,8
52,WARD FOUR MEMBER OF THE COUNCIL,DEM,TONY TOWNS,6
